bill_id,people_id,position
465423,14527,24
465423,14529,28
465423,14530,29
465423,14532,31
465423,14535,39
465423,14537,44
465423,14538,45
465423,14539,46
465423,14540,47
465435,11173,1
465447,2839,1
465459,2839,1
465469,2839,1
465479,2839,1
465492,2839,1
465501,2839,1
465515,2807,11
465515,2835,21
465515,2854,23
465515,2860,26
465515,2871,18
465515,10823,13
465515,10824,17
465515,10826,8
465515,10834,25
465515,10836,31
465515,10837,20
465515,10839,30
465515,10842,15
465515,10843,2
465515,10846,28
465515,10848,27
465515,10849,29
465515,10851,5
465515,10852,9
465515,10854,14
465515,10856,10
465515,11173,6
465515,11174,24
465515,11180,19
465515,11182,22
465515,11183,1
465515,11185,7
465515,13925,12
465515,14519,4
465515,14525,3
465515,14538,16
465525,10836,5
465525,10839,4
465525,10848,3
465525,11183,2
465525,11185,1
465538,11173,1
465549,11173,1
465561,11173,1
465572,11193,1
465583,11193,1
465595,10851,1
465606,10851,1
465616,10822,1
465628,11179,1
465639,11179,1
465652,11179,1
465661,11179,1
465674,11179,1
465684,11179,1
465695,2846,1
465708,2839,1
465718,2839,1
465729,10822,1
465743,2860,1
465753,2860,1
465764,2860,1
465775,2854,2
465775,2860,1
465786,2854,1
465786,2860,4
465786,10845,2
465786,11180,5
465786,11183,7
465786,13925,6
465786,14529,3
465802,2876,1
465813,2876,1
465824,2876,1
465835,2856,1
465845,10851,1
465856,14523,1
465870,14523,1
465880,11180,1
465894,11180,1
465905,11180,1
465914,11180,1
465928,2784,24
465928,2789,18
465928,2789,19
465928,2791,31
465928,2803,52
465928,2806,53
465928,2807,70
465928,2812,4
465928,2819,81
465928,2820,83
465928,2823,6
465928,2826,68
465928,2831,82
465928,2838,75
465928,2839,78
465928,2846,38
465928,2854,12
465928,2856,11
465928,2860,45
465928,2865,73
465928,2871,14
465928,2872,30
465928,2875,86
465928,2876,44
465928,2877,25
465928,10822,32
465928,10823,23
465928,10824,46
465928,10825,67
465928,10826,37
465928,10828,56
465928,10829,88
465928,10833,90
465928,10837,80
465928,10839,10
465928,10840,21
465928,10843,64
465928,10845,59
465928,10846,36
465928,10848,60
465928,10849,55
465928,10851,76
465928,10852,62
465928,10854,20
465928,10855,13
465928,10856,26
465928,11166,2
465928,11167,7
465928,11168,8
465928,11169,9
465928,11170,16
465928,11173,22
465928,11174,27
465928,11176,33
465928,11177,34
465928,11180,1
465928,11181,48
465928,11182,54
465928,11184,57
465928,11186,61
465928,11189,65
465928,11190,66
465928,11191,71
465928,11192,72
465928,11193,79
465928,13924,29
465928,13925,28
465928,14516,3
465928,14517,5
465928,14519,15
465928,14520,17
465928,14521,19
465928,14522,35
465928,14523,39
465928,14524,40
465928,14525,41
465928,14526,42
465928,14527,43
465928,14528,47
465928,14529,49
465928,14530,50
465928,14531,51
465928,14532,58
465928,14533,63
465928,14534,69
465928,14535,74
465928,14536,77
465928,14537,84
465928,14538,85
465928,14539,87
465928,14540,89
465937,2784,1
465950,2784,1
465961,2784,1
465973,2784,1
465983,2784,1
465994,2784,1
466007,2784,1
466018,2784,1
466029,2784,1
466041,2791,2
466041,2872,1
466041,2876,6
466041,10823,3
466041,10825,5
466041,10842,4
466041,10854,7
466052,2791,2
466052,2807,8
466052,2823,6
