roll_call_id,people_id,vote,vote_desc
1086766,20663,1,Yea
1086766,20666,2,Nay
1086766,20669,2,Nay
1086766,20674,1,Yea
1086766,20675,2,Nay
1086766,21624,2,Nay
1086766,22459,1,Yea
1086766,22468,1,Yea
1086766,22470,1,Yea
1086766,22475,1,Yea
1086766,22480,1,Yea
1014054,19137,1,Yea
1014054,19142,1,Yea
1014054,20643,1,Yea
1014054,20657,1,Yea
1014054,20674,1,Yea
1015908,17923,1,Yea
1015908,17924,1,Yea
1015908,17925,1,Yea
1015908,18737,1,Yea
1015908,18738,1,Yea
1015908,18739,1,Yea
1015908,18740,1,Yea
1015908,18741,1,Yea
1015908,18742,1,Yea
1015908,18744,1,Yea
1015908,18745,1,Yea
1015908,18746,1,Yea
1015908,18747,1,Yea
1015908,18749,1,Yea
1015908,18750,1,Yea
1015908,18751,1,Yea
1015908,18752,1,Yea
1015908,18753,2,Nay
1015908,18755,1,Yea
1015908,18756,1,Yea
1015908,18760,1,Yea
1015908,18761,1,Yea
1015908,18762,1,Yea
1015908,18763,1,Yea
1015908,18764,1,Yea
1015908,18765,1,Yea
1015908,18766,2,Nay
1015908,18768,1,Yea
1015908,18769,1,Yea
1015908,18770,1,Yea
1015908,19008,1,Yea
1015908,19119,1,Yea
1015908,19137,1,Yea
1015908,19138,1,Yea
1015908,19142,1,Yea
1015908,19212,1,Yea
1015908,19450,1,Yea
1015908,19451,1,Yea
1015908,19699,1,Yea
1015908,20365,1,Yea
1015908,20366,1,Yea
1015908,20367,2,Nay
1015908,20368,1,Yea
1015908,20369,2,Nay
1015908,20419,1,Yea
1015908,20642,1,Yea
1015908,20643,1,Yea
1015908,20644,1,Yea
1015908,20645,1,Yea
1015908,20646,1,Yea
1015908,20647,1,Yea
1015908,20648,1,Yea
1015908,20649,1,Yea
1015908,20650,1,Yea
1015908,20651,1,Yea
1015908,20652,2,Nay
1015908,20653,1,Yea
1015908,20654,1,Yea
1015908,20655,1,Yea
1015908,20657,1,Yea
1015908,20658,1,Yea
1015908,20659,1,Yea
1015908,20660,1,Yea
1015908,20661,1,Yea
1015908,20662,1,Yea
1015908,20663,1,Yea
1015908,20664,1,Yea
1015908,20665,1,Yea
1015908,20666,1,Yea
1015908,20667,1,Yea
1015908,20668,1,Yea
1015908,20669,1,Yea
1015908,20670,1,Yea
1015908,20671,1,Yea
1015908,20672,1,Yea
1015908,20673,2,Nay
1015908,20674,1,Yea
1015908,20675,1,Yea
1015908,20676,1,Yea
1015908,21281,1,Yea
1015908,21624,1,Yea
1015908,21698,1,Yea
1015908,22414,1,Yea
1015908,22459,1,Yea
1015908,22460,1,Yea
1015908,22461,1,Yea
1015908,22462,1,Yea
1015908,22463,1,Yea
1015908,22464,1,Yea
1015908,22465,2,Nay
1015908,22466,1,Yea
1015908,22467,1,Yea
1015908,22468,1,Yea
1015908,22469,1,Yea
1015908,22470,1,Yea
1015908,22471,1,Yea
1015908,22472,1,Yea
1015908,22473,1,Yea
1015908,22474,1,Yea
1015908,22475,1,Yea
1015908,22476,1,Yea
1015908,22477,1,Yea
1015908,22478,1,Yea
1015908,22479,1,Yea
1015908,22480,1,Yea
1015908,22481,1,Yea
1015908,22482,1,Yea
1015908,22747,1,Yea
1015908,22748,1,Yea
994677,2854,1,Yea
994677,10833,1,Yea
994677,17385,1,Yea
994677,21048,1,Yea
994677,21058,1,Yea
1004030,2809,1,Yea
1004030,2854,1,Yea
1004030,2865,1,Yea
1004030,2874,1,Yea
1004030,10833,1,Yea
1004030,10842,1,Yea
1004030,10851,1,Yea
1004030,10852,1,Yea
1004030,11166,1,Yea
1004030,11179,1,Yea
1004030,11183,1,Yea
1004030,11184,1,Yea
1004030,11185,1,Yea
1004030,14517,1,Yea
1004030,14529,1,Yea
1004030,14538,1,Yea
1004030,17014,1,Yea
1004030,17015,1,Yea
1004030,17064,1,Yea
1004030,17091,1,Yea
1004030,17094,1,Yea
1004030,17213,1,Yea
1004030,17308,4,Absent
1004030,17385,1,Yea
1004030,18754,1,Yea
1004030,18767,1,Yea
1004030,19206,1,Yea
1004030,19704,1,Yea
1004030,20693,1,Yea
1004030,20798,1,Yea
1004030,21022,4,Absent
1004030,21042,1,Yea
1004030,21048,1,Yea
1004030,21058,1,Yea
1004030,21164,1,Yea
1004030,21165,1,Yea
1004031,2809,1,Yea
1004031,2854,1,Yea
1004031,2865,1,Yea
1004031,2874,1,Yea
1004031,10833,1,Yea
1004031,10842,1,Yea
1004031,10851,1,Yea
1004031,10852,1,Yea
1004031,11166,1,Yea
1004031,11179,1,Yea
1004031,11183,1,Yea
1004031,11184,1,Yea
1004031,11185,1,Yea
1004031,14517,1,Yea
1004031,14529,1,Yea
1004031,14538,1,Yea
1004031,17014,1,Yea
1004031,17015,1,Yea
1004031,17064,1,Yea
1004031,17091,1,Yea
1004031,17094,1,Yea
1004031,17213,1,Yea
1004031,17308,1,Yea
1004031,17385,1,Yea
1004031,18754,1,Yea
1004031,18767,1,Yea
1004031,19206,1,Yea
1004031,19704,1,Yea
1004031,20693,1,Yea
1004031,20798,1,Yea
1004031,21022,4,Absent
1004031,21042,1,Yea
1004031,21048,1,Yea
1004031,21058,1,Yea
1004031,21164,1,Yea
1004031,21165,1,Yea
1021654,17924,1,Yea
1021654,18738,1,Yea
1021654,18740,1,Yea
1021654,18744,1,Yea
1021654,18758,1,Yea
1021654,18765,1,Yea
1021654,19142,1,Yea
1021654,20369,1,Yea
1021654,20650,1,Yea
1021654,20658,1,Yea
1021654,20665,1,Yea
1021654,22461,1,Yea
1021654,22466,1,Yea
1064718,17923,1,Yea
1064718,17924,1,Yea
1064718,17925,1,Yea
1064718,18737,1,Yea
1064718,18738,1,Yea
1064718,18739,1,Yea
1064718,18740,1,Yea
1064718,18741,1,Yea
1064718,18742,2,Nay
1064718,18744,1,Yea
1064718,18745,1,Yea
1064718,18746,2,Nay
1064718,18747,1,Yea
1064718,18749,1,Yea
1064718,18750,1,Yea
1064718,18751,1,Yea
1064718,18752,1,Yea
1064718,18753,1,Yea
1064718,18755,1,Yea
1064718,18756,1,Yea
1064718,18758,1,Yea
1064718,18760,1,Yea
1064718,18761,2,Nay
1064718,18762,1,Yea
1064718,18763,1,Yea
1064718,18764,1,Yea
1064718,18765,1,Yea
1064718,18766,1,Yea
1064718,18768,1,Yea
1064718,18769,1,Yea
1064718,18770,1,Yea
1064718,19008,1,Yea
1064718,19119,1,Yea
1064718,19137,1,Yea
1064718,19138,1,Yea
1064718,19142,1,Yea
1064718,19212,1,Yea
1064718,19450,1,Yea
1064718,19451,2,Nay
1064718,19699,1,Yea
1064718,20365,1,Yea
1064718,20366,1,Yea
1064718,20367,1,Yea
1064718,20368,2,Nay
1064718,20369,1,Yea
1064718,20419,1,Yea
1064718,20642,1,Yea
1064718,20643,1,Yea
1064718,20644,1,Yea
1064718,20645,1,Yea
1064718,20646,1,Yea
1064718,20647,1,Yea
1064718,20648,1,Yea
1064718,20649,1,Yea
1064718,20650,1,Yea
1064718,20651,1,Yea
1064718,20652,1,Yea
1064718,20653,2,Nay
1064718,20654,1,Yea
1064718,20655,2,Nay
1064718,20657,1,Yea
1064718,20658,1,Yea
1064718,20659,1,Yea
1064718,20660,1,Yea
1064718,20661,1,Yea
1064718,20662,1,Yea
1064718,20663,1,Yea
1064718,20664,1,Yea
1064718,20665,1,Yea
1064718,20666,1,Yea
1064718,20667,1,Yea
1064718,20668,1,Yea
1064718,20669,1,Yea
1064718,20670,1,Yea
1064718,20671,1,Yea
1064718,20672,1,Yea
1064718,20673,1,Yea
1064718,20674,1,Yea
1064718,20675,1,Yea
1064718,20676,1,Yea
1064718,21281,1,Yea
1064718,21624,1,Yea
1064718,21698,2,Nay
1064718,22414,1,Yea
1064718,22459,1,Yea
1064718,22460,1,Yea
1064718,22461,1,Yea
1064718,22462,1,Yea
1064718,22463,1,Yea
1064718,22464,1,Yea
1064718,22465,1,Yea
1064718,22466,1,Yea
1064718,22467,1,Yea
1064718,22468,1,Yea
1064718,22469,1,Yea
1064718,22470,1,Yea
1064718,22471,1,Yea
1064718,22472,1,Yea
1064718,22473,1,Yea
1064718,22474,1,Yea
1064718,22475,1,Yea
1064718,22476,1,Yea
1064718,22477,1,Yea
1064718,22478,1,Yea
1064718,22479,1,Yea
1064718,22480,1,Yea
1064718,22481,2,Nay
1064718,22482,1,Yea
1064718,22747,1,Yea
1064718,22748,1,Yea
1016396,2865,1,Yea
1016396,10842,1,Yea
1016396,10852,1,Yea
1016396,11183,1,Yea
1016396,11184,2,Nay
1016397,2809,1,Yea
1016397,2854,1,Yea
1016397,2865,1,Yea
1016397,2874,1,Yea
1016397,10833,1,Yea
1016397,10842,1,Yea
1016397,10851,1,Yea
1016397,10852,1,Yea
1016397,11166,2,Nay
1016397,11179,2,Nay
1016397,11183,1,Yea
1016397,11184,2,Nay
1016397,11185,1,Yea
1016397,14517,2,Nay
1016397,14529,1,Yea
1016397,14538,1,Yea
1016397,17014,1,Yea
1016397,17015,1,Yea
1016397,17064,2,Nay
1016397,17091,1,Yea
1016397,17094,1,Yea
1016397,17213,2,Nay
1016397,17308,2,Nay
1016397,17385,2,Nay
1016397,18754,1,Yea
1016397,18767,1,Yea
1016397,19206,2,Nay
1016397,19704,2,Nay
1016397,20693,2,Nay
1016397,20798,2,Nay
1016397,21022,4,Absent
1016397,21042,2,Nay
1016397,21048,2,Nay
1016397,21058,1,Yea
1016397,21164,2,Nay
1016397,21165,1,Yea
1026493,17923,2,Nay
1026493,17924,1,Yea
1026493,17925,1,Yea
1026493,18737,1,Yea
1026493,18738,1,Yea
1026493,18739,1,Yea
1026493,18740,1,Yea
1026493,18741,1,Yea
1026493,18742,2,Nay
1026493,18744,2,Nay
1026493,18745,1,Yea
1026493,18746,2,Nay
1026493,18747,1,Yea
1026493,18749,2,Nay
1026493,18750,1,Yea
1026493,18751,1,Yea
1026493,18752,1,Yea
1026493,18753,1,Yea
1026493,18755,2,Nay
1026493,18756,1,Yea
1026493,18758,1,Yea
1026493,18760,2,Nay
1026493,18761,2,Nay
1026493,18762,1,Yea
1026493,18763,2,Nay
1026493,18764,2,Nay
1026493,18765,2,Nay
1026493,18766,1,Yea
1026493,18768,1,Yea
1026493,18769,1,Yea
1026493,18770,2,Nay
1026493,19008,1,Yea
1026493,19119,1,Yea
1026493,19137,1,Yea
1026493,19138,1,Yea
1026493,19142,1,Yea
1026493,19212,2,Nay
1026493,19450,1,Yea
1026493,19451,2,Nay
1026493,19699,2,Nay
1026493,20365,1,Yea
1026493,20366,1,Yea
1026493,20367,1,Yea
1026493,20368,2,Nay
1026493,20369,1,Yea
1026493,20419,1,Yea
1026493,20642,2,Nay
1026493,20643,1,Yea
1026493,20644,2,Nay
1026493,20645,2,Nay
1026493,20646,2,Nay
1026493,20647,2,Nay
1026493,20648,2,Nay
1026493,20649,1,Yea
1026493,20650,2,Nay
1026493,20651,2,Nay
1026493,20652,1,Yea
1026493,20653,2,Nay
1026493,20654,1,Yea
1026493,20655,2,Nay
1026493,20657,2,Nay
1026493,20658,2,Nay
1026493,20659,1,Yea
1026493,20660,1,Yea
1026493,20661,2,Nay
1026493,20662,1,Yea
1026493,20663,1,Yea
1026493,20664,1,Yea
1026493,20665,1,Yea
1026493,20666,2,Nay
1026493,20667,2,Nay
1026493,20668,1,Yea
1026493,20669,2,Nay
1026493,20670,2,Nay
1026493,20671,1,Yea
1026493,20672,1,Yea
1026493,20673,1,Yea
1026493,20674,1,Yea
1026493,20675,2,Nay
1026493,20676,1,Yea
1026493,21281,1,Yea
1026493,21624,2,Nay
1026493,21698,2,Nay
1026493,22414,1,Yea
1026493,22459,1,Yea
1026493,22460,1,Yea
1026493,22461,1,Yea
1026493,22462,1,Yea
1026493,22463,2,Nay
1026493,22464,2,Nay
1026493,22465,1,Yea
1026493,22466,2,Nay
1026493,22467,1,Yea
1026493,22468,1,Yea
1026493,22469,1,Yea
1026493,22470,2,Nay
1026493,22471,2,Nay
1026493,22472,1,Yea
1026493,22473,2,Nay
1026493,22474,2,Nay
1026493,22475,1,Yea
1026493,22476,2,Nay
1026493,22477,2,Nay
1026493,22478,2,Nay
1026493,22479,2,Nay
1026493,22480,1,Yea
1026493,22481,2,Nay
1026493,22482,2,Nay
1026493,22747,1,Yea
1026493,22748,2,Nay
1032923,2809,1,Yea
1032923,2854,1,Yea
1032923,2865,1,Yea
1032923,2874,1,Yea
1032923,10833,1,Yea
1032923,10842,1,Yea
1032923,10851,1,Yea
1032923,10852,1,Yea
1032923,11166,2,Nay
1032923,11179,2,Nay
1032923,11183,1,Yea
1032923,11184,2,Nay
1032923,11185,1,Yea
1032923,14517,2,Nay
1032923,14529,1,Yea
1032923,14538,1,Yea
